cost_code,name,original_budget,cost_type,company
0,General Conditions,31190,Subcontractor,Katerra
0,General Conditions,9850,Subcontractor,Katerra
0,General Conditions,7500,Subcontractor,Katerra
1,Non-Reimbursable,1000,Subcontractor,
1,Non-Reimbursable,3000,Subcontractor,
3146,Permits,700,Subcontractor,Katerra
6000,Project Forms,1700,Subcontractor,Katerra
6276,Sales Tax,2400,Subcontractor,
6276,Sales Tax,5600,Subcontractor,
6276,Sales Tax,4020,Subcontractor,
6536,Warranty,4100,Subcontractor,
7200,General Conditions,20150,Subcontractor,
7201,Project Executive,1000,Direct Labor,
7202,Sr. Project Manager,700,Direct Labor,
7203,Project Manager,1700,Direct Labor,
7204,Assistant Project Manager,2400,Direct Labor,Katerra
7205,Area Manager,4100,Direct Labor,
7206,Sr. Superintendent,1070,Direct Labor,Katerra
7207,Superintendent,770,Direct Labor,
7208,Assistant Superintendent,1770,Direct Labor,Katerra
7209,Sr. Project Engineer,2470,Direct Labor,
7210,Project Engineer II,4170,Direct Labor,Katerra
7319,Health and Safety Requirements,1140,Direct Labor,
10000,General Requirements,141275,General Conditions,Katerra
10001,Postage / UPS/FedEx,9800,General Conditions,Katerra
10001,Postage / UPS/FedEx,14000,General Conditions,Katerra
10001,Postage / UPS/FedEx,13000,General Conditions,
10001,Postage / UPS/FedEx,12000,General Conditions,Katerra
10002,Delivery Service/ Courier,2540,General Conditions,
10002,Delivery Service/ Courier,5600,General Conditions,Katerra
10002,Delivery Service/ Courier,8700,General Conditions,
10003,Temp Fencing,4240,General Conditions,Katerra
10003,Temp Fencing,8000,General Conditions,
10003,Temp Fencing,9800,General Conditions,Katerra
10003,Temp Fencing,2300,General Conditions,
10004,Shed/Storage Facility,907,General Conditions,Katerra
10004,Shed/Storage Facility,1200,General Conditions,
10004,Shed/Storage Facility,1400,General Conditions,Katerra
10005,Chemical Toilets,1907,General Conditions,
10006,Electrical Consumption/Temp Power,2607,General Conditions,Katerra
10007,Electrical Final,4307,General Conditions,
10008,Water Consumption/Temp Water,974,General Conditions,Katerra
10008,Water Consumption/Temp Water,980,General Conditions,
10008,Water Consumption/Temp Water,670,General Conditions,Katerra
10009,Gas Consumption,1974,General Conditions,
10010,Sewer Charges,2674,General Conditions,Katerra
10011,Jobsite Camera,4374,General Conditions,
10012,Cell Phones,1041,General Conditions,Katerra
10013,Security / Alarm Systems,2041,General Conditions,
10014,Watch person,2741,General Conditions,Katerra
10016,Project Signage,4441,General Conditions,
10017,Jobsite Photos,2585,General Conditions,Katerra
10018,First Aid Supplies,4285,General Conditions,
10019,Safety Supplies,952,General Conditions,Katerra
10020,Fire Extinguishers,1952,General Conditions,
10021,Safety Barricades,2652,General Conditions,Katerra
10022,Temp Railings,4352,General Conditions,
10023,Scaffolding,2496,General Conditions,
10024,Temp Stairs,4196,General Conditions,
10025,Mock Ups,863,General Conditions,
10026,Rental Apartments,1863,General Conditions,
10027,Temp Water for Jobsite,2563,General Conditions,
10028,Temp Power for Jobsite,4263,General Conditions,
10029,Traffic Control,2407,General Conditions,
10030,SWPPP,4107,General Conditions,
10031,Storm Damage Cleanup,774,General Conditions,Katerra
10032,Winter Protection,2633,General Conditions,
10033,Temporary Doors and Windows,4333,General Conditions,Katerra
10034,Identification Badges,2477,General Conditions,Katerra
10035,Project Documents,841,General Conditions,Katerra
10036,Partnering Expenses,2700,General Conditions,Katerra
10037,Teambuilding,4400,General Conditions,
10038,Professional Consultants,2544,General Conditions,Katerra
10039,Work restrictions,908,General Conditions,Katerra
10040,Safety Equipment,2767,General Conditions,Katerra
10041,OSHA Violation,4467,General Conditions,
10042,Safety Incentives,2611,General Conditions,Katerra
10043,Drug Tests,975,General Conditions,Katerra
10043,Drug Tests,900,General Conditions,Katerra
10043,Drug Tests,700,General Conditions,Katerra
10043,Drug Tests,1200,General Conditions,
10044,ATV Golf cart,2834,General Conditions,Katerra
10045,Forklift LOED,4534,General Conditions,Katerra
10046,Mobile Crane,2678,General Conditions,Katerra
10047,Small Tools,4378,General Conditions,
10048,Expendables and Consumables,2522,General Conditions,Katerra
10049,Generators,886,General Conditions,
10050,Man lift,2745,General Conditions,Katerra
10051,Tower Crane,4445,General Conditions,
17413,Rough And Daily Cleaning,6722,General Conditions,Katerra
17419,Dumpster And Dump Fees,4289,General Conditions,
17423,Final Cleaning,2433,General Conditions,Katerra
17833,Bonds,797,General Conditions,Katerra
20000,Existing Conditions,11923,General Conditions,ABC Concrete
22100,Surveys,4356,General Conditions,
24100,Interior Demolition,2500,Direct Labor,ABC Concrete
25000,Site Remediation,4200,Direct Labor,
25500,Remediation Soil Stabilization,867,Direct Labor,ABC Concrete
30000,Concrete,69350,Subcontractor,
30000,Concrete,2900,Subcontractor,ABC Concrete
30000,Concrete,56000,Subcontractor,
33000,Cast-in-Place Concrete,29643,Subcontractor,ABC Concrete
33000,Cast-in-Place Concrete,35000,Subcontractor,
